input,output
"Sad / Down: I feel like a burden to everyone. I can't remember the last time I felt happy. I want to feel better","I'm sorry you're feeling this way. Your emotions are valid, and it's okay to express them."
"Sad / Down: I don't feel like myself anymore, and I'm exhausted from pretending","What you're experiencing is valid. Remember that feeling sad doesn't define who you are."
"Sad / Down: I feel like a burden to everyone. I'm trying to stay strong but it's hard. I want to feel better","I hear you, and I want you to know that your feelings won't last forever, even though they feel overwhelming now."
"Sad / Down: I'm having trouble seeing the good in anything","I want you to know that your feelings are real and important. You don't have to go through this alone."
"Sad / Down: I'm feeling really low today. I want to feel better","I hear the weight of what you're carrying. Please remember that it's okay to set down that burden sometimes."
"Sad / Down: I feel like giving up, but I don't know where to turn","Thank you for sharing how you're feeling. What you're going through sounds really difficult, and it takes courage to acknowledge these emotions."
"Sad / Down: I feel like I'm failing at everything. Please help me understand this","Thank you for sharing. Your honesty takes strength, and you're taking an important step toward healing."
"Sad / Down: I feel stuck in this sadness","Your emotions are real and valid. Please know that feeling sad is a natural part of the human experience."
"Sad / Down: I feel so heavy and sad","Thank you for sharing. Your honesty is a strength, and you're taking important steps toward healing."
"Sad / Down: I feel numb to everything. I need support","What you're experiencing is valid. Remember that feeling sad doesn't define who you are."
"Sad / Down: Today was just too much for me to handle. Please help me understand this","I understand that things feel overwhelming. Remember to breathe and take things one moment at a time."
"Sad / Down: I feel like a burden to everyone, but I'm trying my best","What you're experiencing is valid. Remember that feeling sad doesn't define who you are."
"Sad / Down: I'm struggling to find meaning in anything","Thank you for sharing how you feel. Remember that seeking support is a sign of strength, not weakness."
"Sad / Down: I'm so tired of feeling this way, and it's getting harder each day","I hear you, and I want you to know that your feelings won't last forever, even though they feel overwhelming now."
"Sad / Down: I feel like I'm not good enough","I hear the exhaustion in your words. Please know that rest and self-compassion are not weaknesses."
"Sad / Down: Nothing seems to be going right. I can't remember the last time I felt happy","I'm sorry things feel so heavy. Remember that you're not alone, and it's okay to reach out for support."
"Sad / Down: I'm struggling to find meaning in anything","What you're experiencing sounds incredibly difficult. Please be patient with yourself as you navigate these feelings."
"Sad / Down: I feel like I'm not enough","Thank you for trusting yourself enough to express these feelings. That's an important act of self-care."
"Sad / Down: I feel like giving up on everything. I just want to feel okay again","What you're going through sounds really hard. Remember that you don't have to face this alone."
"Sad / Down: I feel stuck in this sadness. I just need someone to understand. I need support","I acknowledge your pain and want you to know that it's okay to take things one moment at a time."
"Sad / Down: I feel like I'm drowning in sadness, but I'm trying my best","I hear you, and I want you to know that your feelings won't last forever, even though they feel overwhelming now."
